R-Location,R-Number,H-Number,H-Name,Rating
GRAFTON,R1,2.0,SELLINYA,0.63
GRAFTON,R1,3.0,BRIGHT THE SUN,0.38
GRAFTON,R1,4.0,EMPRESS OF MILAN,0.5
GRAFTON,R1,6.0,JUST A HERO,0.46049999999999996
GRAFTON,R1,7.0,MAGIC SORCERER,0.77
GRAFTON,R1,8.0,MOON TREATY,0.535
GRAFTON,R2,1.0,ZAYNUDIN,0.31
GRAFTON,R2,2.0,THE IRISH,0.7188571428571429
GRAFTON,R2,4.0,GIDDY GANS JOY,0.7784444444444444
GRAFTON,R2,6.0,EASTOWIN,0.16990873015873015
GRAFTON,R2,9.0,ITALIAN TUNE,0.67
GRAFTON,R2,10.0,THE KING SLAYER,0.56
GRAFTON,R3,1.0,BARRON,0.48
GRAFTON,R3,2.0,MILLENNIUM PRAYER,0.38
GRAFTON,R3,3.0,PRINCE OF PROPHETS,0.67
GRAFTON,R3,5.0,WESTERLY,0.02
GRAFTON,R3,6.0,CHURCH ROCK,0.35
GRAFTON,R3,7.0,NEIL,0.8357142857142857
GRAFTON,R3,8.0,OLIVERSHARE,0.6818333333333334
GRAFTON,R3,12.0,PRINCESS SHANGHAI,0.11650465221053453
GRAFTON,R3,13.0,LUCKY NEKO,0.69
GRAFTON,R3,14.0,SPOILER,0.14
GRAFTON,R4,1.0,DARKLEY,0.99
GRAFTON,R4,5.0,SUPREME HERO,0.06
GRAFTON,R4,6.0,DUBAI DAME,0.51
GRAFTON,R4,7.0,THROWNUNDERTHEBUS,1.0
GRAFTON,R4,8.0,GOT THE SMARTS,0.71
GRAFTON,R4,12.0,ROMI,0.16116666666666668
GRAFTON,R4,13.0,RUM REVOLUTION,0.19
GRAFTON,R4,16.0,SOUTH BOAMBEE,0.29833333333333334
GRAFTON,R4,17.0,ROXNROL,0.17
GRAFTON,R5,2.0,CARACORON,0.45
GRAFTON,R5,5.0,RISK FOR REWARD,0.627
GRAFTON,R5,6.0,SPRING RESULT,0.07
GRAFTON,R5,7.0,THE RIDDLER,0.27
GRAFTON,R5,8.0,ROCK THE MACHINE,0.06416666666666666
GRAFTON,R5,9.0,ITSALLSAIDANDONE,0.67
GRAFTON,R5,10.0,KOBAYTERA,0.7831666666666667
GRAFTON,R5,11.0,MAGIC SHANNON,0.52
GRAFTON,R5,12.0,SASKATOON BERRY,0.27
GRAFTON,R5,13.0,CHILLCUZ,1.0
GRAFTON,R5,14.0,GERRYS PICK,0.35
GRAFTON,R5,17.0,WHATEVER IT TAKES,0.2
GRAFTON,R5,18.0,BEEARETEE,0.23
GRAFTON,R6,1.0,DRAFT DAY,0.27
GRAFTON,R6,2.0,STOINKA,0.83
GRAFTON,R6,3.0,HARDLEY GREY,0.64
GRAFTON,R6,4.0,SAXINOUE,0.83
GRAFTON,R6,5.0,CELEBRITYS BEAU,0.7
GRAFTON,R6,7.0,I AM CONVINCING,0.5933333333333334
GRAFTON,R6,8.0,THE COAT HANGER,0.45
GRAFTON,R6,10.0,CHARLES RENNIE,0.13
GRAFTON,R6,11.0,DAWN COMMAND,0.0
GRAFTON,R6,12.0,WOTSIT,0.09
GRAFTON,R6,14.0,UPLOADS,0.01
GRAFTON,R7,1.0,SILVER CANVAS,0.5616666666666666
GRAFTON,R7,4.0,SALAMANCAS,0.44
GRAFTON,R7,5.0,OLD TIMING MAN,0.32
GRAFTON,R7,6.0,HOTZINO,0.51
GRAFTON,R7,7.0,ELLRO,0.8153466810966812
GRAFTON,R7,9.0,INTO THE ZONE,0.08908084253208091
GRAFTON,R7,10.0,REVONTULET,0.5916666666666667
GRAFTON,R7,11.0,MULLUMOVA,0.26
GRAFTON,R7,12.0,BELLEBEAN,0.1
GRAFTON,R7,13.0,STAR OF YAMBA,0.53
GRAFTON,R8,2.0,ROYAL RIFT,0.29
GRAFTON,R8,5.0,SHOWMAN,0.55
GRAFTON,R8,6.0,DESERT MIST,0.7733333333333333
GRAFTON,R8,7.0,TRUE FAIRY,0.21
GRAFTON,R8,8.0,OCTAVIO,0.22378205128205128
GRAFTON,R8,9.0,CHEAP WINE,0.12
GRAFTON,R8,11.0,MAPLE DOOR,0.22
GRAFTON,R8,12.0,MAX O MAX,0.49
GRAFTON,R8,14.0,TALAKAI,0.13
GRAFTON,R8,15.0,THREE GRACES,0.23
GRAFTON,R8,17.0,STRATUM CHIEF,0.01
GRAFTON,R9,1.0,BUGALUGS,0.06
GRAFTON,R9,2.0,RACKETEERING,0.03
GRAFTON,R9,3.0,SINGLE TOUCH,0.73
GRAFTON,R9,4.0,MAXIMUM VORTEX,0.31
GRAFTON,R9,5.0,PHOENIX GLOBAL,0.11
GRAFTON,R9,6.0,ANDY,0.52
GRAFTON,R9,7.0,COLLAYS SPIRIT,0.12
GRAFTON,R9,8.0,PREEMPTORY,0.55
GRAFTON,R9,9.0,STRAPPARSI,0.58
GRAFTON,R9,11.0,CABSAV,0.32
GRAFTON,R9,13.0,CRITICAL TIME,0.47
